Model,SPD,SPD_Std,DI,DI_Std,EO,EO_Std,AOD,AOD_Std,Accuracy,Accuracy_Std,Balanced_Accuracy,Balanced_Accuracy_Std,MCC,MCC_Std
LR,0.17599836664896565,0.0,0.16882244829594664,0.0,0.27706523032972263,0.0,0.17517945051416123,0.0,0.82081989866421,0.0,0.6952381799401072,0.0,0.4665608108359405,0.0
RF,0.18559270641026376,0.0,0.2971341379302,0.0,0.1141828353767409,0.0,0.094463763479851,0.0,0.8567480423767849,0.0,0.7772598602670908,0.0,0.5941941558639747,0.0
ANN (Mean),0.17157937248902635,0.006496804165971058,0.3288857226621261,0.01134231854182559,0.09900964170932033,0.01845271718700365,0.08387323205316011,0.009781089234911652,0.8455089820359282,0.0016970062189034707,0.7595116590201926,0.004428897908655932,0.560166218590701,0.005611332817207277
Reweighting,0.0543929538412186,0.0,0.6385687716556832,0.0,0.0536453993572194,0.0,0.02778137248003711,0.0,0.8074619990787656,0.0,0.6628495069707638,0.0,0.4138036615453523,0.0
ThresholdAdj,0.04890755271487096,0.0,0.6044749122743552,0.0,0.02028627544339956,0.0,0.011796581957646816,0.0,0.8027022877322278,0.0,0.6393147141370623,0.0,0.3875121372423658,0.0
Adversarial (Mean),0.0573823185277347,0.02537116033945907,0.6539727040882543,0.10780279056927103,0.1487632424711344,0.0712612383392393,0.0806257266815413,0.03297645276522736,0.8360509749731306,0.005537122327844315,0.7076929331840883,0.017601199628265486,0.5130389657377636,0.021054274092499915
