Metric,Original,Ablated (No Proxy),Delta
Accuracy,0.8582834331337326,0.8572086596038692,-0.0010747735298634042
SPD (Parity),0.15322283291828578,0.15550064190184432,0.0022778089835585325
DI (Impact),0.28413898318241393,0.2857457344044897,0.001606751222075764
EO (Opportunity),0.09496190929651233,0.1041602190215451,0.009198309725032772
