Metric,Original,Ablated (No Proxy),Delta
Accuracy,0.6528066528066528,0.6368676368676369,-0.01593901593901592
SPD (Parity),0.1243795889027709,0.18460439165482895,0.06022480275205805
DI (Impact),0.716044679531324,0.509096701521237,-0.20694797801008702
EO (Opportunity),0.15298019431988036,0.19495048579970103,0.041970291479820676
