Model,SPD,SPD_Std,DI,DI_Std,EO,EO_Std,AOD,AOD_Std,Accuracy,Accuracy_Std,Balanced_Accuracy,Balanced_Accuracy_Std,MCC,MCC_Std
LR,0.16848012117270536,0.0,0.5939415813761633,0.0,0.187196375186846,0.0,0.1498462873197836,0.0,0.6798336798336798,0.0,0.6655698124963493,0.0,0.3431268586443334,0.0
RF,0.06454628694655051,0.0,0.8436436000684069,0.0,0.08506165919282516,0.0,0.05134809928324749,0.0,0.6340956340956341,0.0,0.6231127942522245,0.0,0.25061523831893423,0.0
ANN (Mean),0.18426081226788069,0.01250318041233584,0.5913009235601676,0.03054058990824024,0.21700766068759342,0.017456620536618114,0.16719948251770975,0.01319332561846861,0.6799722799722799,0.0014134496226175391,0.66936836776417,0.003258877860745507,0.34536283802621204,0.003839287699367152
Reweighting,0.05576212154923066,0.0,0.8595938375350141,0.0,0.030455904334828032,0.0,0.07155206283935078,0.0,0.6576576576576577,0.0,0.643417901438891,0.0,0.29671473646886004,0.0
ThresholdAdj,0.035975286244844196,0.0,0.8842957009963119,0.0,0.025901532137518724,0.0,0.015307105381620417,0.0,0.6666666666666666,0.0,0.6453143558091085,0.0,0.3153682040145847,0.0
Adversarial (Mean),0.08925319618682503,0.05924065771885408,0.7912116479622741,0.13466465052594181,0.10520833333333332,0.06788286341720749,0.08496962729299685,0.04355156576811008,0.6720720720720721,0.0035982688803179843,0.6613121361397224,0.0026913602570203606,0.32890060174856584,0.006630725907922666
