Model,SPD,SPD_Std,DI,DI_Std,EO,EO_Std,AOD,AOD_Std,Accuracy,Accuracy_Std,Balanced_Accuracy,Balanced_Accuracy_Std,MCC,MCC_Std
LR,0.08869395711500971,0.0,0.8958810068649886,0.0,0.02595628415300555,0.0,0.05047814207650275,0.0,0.805,0.0,0.691400304414003,0.0,0.45785791065333326,0.0
RF,0.27907732293697207,0.0,0.6747444149943204,0.0,0.19262295081967218,0.0,0.25345433255269323,0.0,0.795,0.0,0.6962201927955353,0.0,0.4397458605665948,0.0
ANN (Mean),0.18479532163742687,0.03814746140395681,0.7726972524478086,0.044220234070682464,0.1633879781420765,0.05889293400953889,0.13526541764246683,0.03460693213722113,0.764,0.01067707825203132,0.6738203957382041,0.016845960619638924,0.37025212177615996,0.031027752536110686
Reweighting,0.06237816764132553,0.0,0.9267734553775744,0.0,0.02595628415300555,0.0,0.014763856362217054,0.0,0.8,0.0,0.6821410451547438,0.0,0.441145138661576,0.0
ThresholdAdj,0.033138401559454134,0.0,0.9583843329253366,0.0,0.015027322404371546,0.0,0.020013661202185784,0.0,0.8,0.0,0.7113140537798072,0.0,0.46065787115807627,0.0
Adversarial (Mean),0.1788823911630929,0.16942321306758445,0.8043406522116353,0.17324989291044082,0.12827868852459015,0.10984693962429576,0.20735362997658074,0.16346577893529163,0.7870000000000001,0.026,0.6744038559107052,0.026709329267966247,0.41315018571010353,0.062010316302230604
